4.9003 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2880, 1800]. Using actual size
7.3080 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000279037B55D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000279037B5630>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000279037B7010>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027903AB5840>, multiSample=False, name='window1', numSamples=2, pos=(-2880, 0), screen=0, size=array([2880, 1800]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3082 	EXP 	window1: mouseVisible = True
7.3082 	EXP 	window1: backgroundImage = ''
7.3082 	EXP 	window1: backgroundFit = 'none'
7.3108 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.3109 	EXP 	window1: recordFrameIntervals = False
7.3911 	EXP 	window1: recordFrameIntervals = True
7.4532 	WARNING 	t of last frame was 12.25ms (=1/81)
7.4702 	WARNING 	t of last frame was 12.35ms (=1/80)
7.4876 	WARNING 	t of last frame was 11.30ms (=1/88)
7.5272 	WARNING 	t of last frame was 16.06ms (=1/62)
7.5484 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
8.1579 	EXP 	Screen (0) actual frame rate measured at 119.68Hz
8.1580 	EXP 	window1: recordFrameIntervals = False
8.1580 	EXP 	window1: mouseVisible = False
10.0991 	EXP 	gng: status = STARTED
10.0996 	EXP 	window1: mouseVisible = True
10.0998 	EXP 	window1: mouseVisible = True
10.1002 	EXP 	window1: mouseVisible = True
10.1004 	EXP 	window1: mouseVisible = True
10.6186 	EXP 	window1: mouseVisible = True
10.6190 	EXP 	window1: mouseVisible = True
10.6198 	EXP 	window1: mouseVisible = True
10.6205 	EXP 	window1: mouseVisible = True
10.6256 	EXP 	window1: mouseVisible = True
10.6364 	EXP 	Created go_example = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='go_example', opacity=1.0, ori=0.0, pos=array([0.6, 0.1]), size=array([0.1, 0.1]), texRes=128.0, units='height', win=Window(...))
10.6366 	EXP 	window1: mouseVisible = True
10.6455 	EXP 	Created nogo_example = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='nogo_example', opacity=1.0, ori=0.0, pos=array([ 0.6, -0.1]), size=array([0.1, 0.1]), texRes=128.0, units='height', win=Window(...))
10.6457 	EXP 	window1: mouseVisible = True
10.6527 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128.0, units='height', win=Window(...))
10.6531 	EXP 	window1: mouseVisible = True
10.6533 	EXP 	window1: mouseVisible = True
10.6539 	EXP 	window1: mouseVisible = True
10.6545 	EXP 	window1: mouseVisible = True
10.6606 	EXP 	window1: mouseVisible = True
10.6608 	EXP 	window1: mouseVisible = True
10.6615 	EXP 	window1: mouseVisible = True
10.6623 	EXP 	window1: mouseVisible = True
10.6671 	EXP 	window1: mouseVisible = True
10.6673 	EXP 	window1: mouseVisible = True
10.6678 	EXP 	window1: mouseVisible = True
10.6685 	EXP 	window1: mouseVisible = True
10.6736 	EXP 	window1: mouseVisible = True
10.6738 	EXP 	window1: mouseVisible = True
10.6743 	EXP 	window1: mouseVisible = True
10.6748 	EXP 	window1: mouseVisible = True
0.0032 	EXP 	introtxt: autoLog = True
0.0032 	EXP 	fbtxt: autoLog = True
0.0032 	EXP 	textbox: autoLog = True
0.0278 	EXP 	introtxt: autoDraw = True
0.0278 	EXP 	go_example: autoDraw = True
0.0278 	EXP 	nogo_example: autoDraw = True
53.5466 	EXP 	gng: status = STOPPED
53.5536 	EXP 	introtxt: autoDraw = False
53.5536 	EXP 	go_example: autoDraw = False
53.5536 	EXP 	nogo_example: autoDraw = False
53.5538 	EXP 	gng: status = STOPPED
55.5981 	EXP 	window1: mouseVisible = True
